scenario_id,time_scenario,hazard_scenario,p,demand_id,activity_intensity,weight,selected_shelter_id,assigned_distance,reachable
Morning_baseline_p10,Morning,baseline,10,TZ_177,0.476513251901,0.018016694740275098,SCH_0268,2432.6408613235426,1
Morning_baseline_p10,Morning,baseline,10,TZ_178,0.426289597203,0.016117766952170594,SCH_0351,2544.545459402867,1
Morning_baseline_p10,Morning,baseline,10,TZ_181,0.666965428693,0.02521758310632469,SCH_0090,534.584198747692,1
Morning_baseline_p10,Morning,baseline,10,TZ_188,0.587529324279,0.022214149227258093,SCH_0167,873.5273175133907,1
Morning_baseline_p10,Morning,baseline,10,TZ_189,0.439510776656,0.016617652219496983,SCH_0090,2132.1209171817563,1
Morning_baseline_p10,Morning,baseline,10,TZ_190,0.370757025578,0.014018112037813767,SCH_0167,2367.7120948241663,1
Morning_baseline_p10,Morning,baseline,10,TZ_195,0.391400457921,0.014798628460875646,SCH_0090,2613.71006525083,1
Morning_baseline_p10,Morning,baseline,10,TZ_210,0.729723004817,0.02759041132706134,SCH_0351,2778.388049849023,1
Morning_baseline_p10,Morning,baseline,10,TZ_217,0.435588054699,0.016469336335797433,SCH_0045,1449.942753068302,1
Morning_baseline_p10,Morning,baseline,10,TZ_222,0.0126305597045,0.00047755427091894097,SCH_0268,2668.570573640279,1
Morning_baseline_p10,Morning,baseline,10,TZ_225,0.53869483849,0.020367745124646675,SCH_0139,658.9930018525179,1
Morning_baseline_p10,Morning,baseline,10,TZ_227,0.472220994853,0.01785440694518839,SCH_0093,501.2609879363857,1
Morning_baseline_p10,Morning,baseline,10,TZ_228,0.50227419065,0.018990701166774406,SCH_0093,1491.16718549741,1
Morning_baseline_p10,Morning,baseline,10,TZ_255,0.46729438427,0.017668134604127535,SCH_0045,663.8149098025127,1
Morning_baseline_p10,Morning,baseline,10,TZ_256,0.453733636114,0.0171554104374822,SCH_0045,561.5037768907587,1
Morning_baseline_p10,Morning,baseline,10,TZ_257,0.445697235349,0.01685155870027259,SCH_0403,2372.4253063422893,1
Evening_baseline_p10,Evening,baseline,10,TZ_11,0.0189328176123,0.0007675789589264758,SCH_0579,2463.0558240490673,1
Evening_baseline_p10,Evening,baseline,10,TZ_14,0.438210282103,0.017766029283933726,SCH_0093,3413.6434781361127,1
Evening_baseline_p10,Evening,baseline,10,TZ_17,0.58839299127,0.023854773701788994,EC_025,1906.8598141468449,1
Evening_baseline_p10,Evening,baseline,10,TZ_21,0.404264042087,0.016389772452831016,SCH_0579,440.81245225615146,1
Evening_baseline_p10,Evening,baseline,10,TZ_22,0.4221000599,0.017112884683912897,SCH_0579,1693.8763347797883,1
Evening_baseline_p10,Evening,baseline,10,TZ_25,0.70722001852,0.02867228833361155,SCH_0042,1213.5859940431524,1
Evening_baseline_p10,Evening,baseline,10,TZ_26,0.400559588191,0.0162395855697632,SCH_0093,2234.1521761546614,1
