scenario_id,time_scenario,hazard_scenario,p,demand_id,activity_intensity,weight,selected_shelter_id,assigned_distance,reachable
Morning_baseline_p5,Morning,baseline,5,TZ_210,0.729723004817,0.02759041132706134,SCH_0342,3473.73000483296,1
Morning_baseline_p5,Morning,baseline,5,TZ_217,0.435588054699,0.016469336335797433,SCH_0055,2061.035799884978,1
Morning_baseline_p5,Morning,baseline,5,TZ_222,0.0126305597045,0.00047755427091894097,SCH_0268,2668.570573640279,1
Morning_baseline_p5,Morning,baseline,5,TZ_225,0.53869483849,0.020367745124646675,SCH_0055,1802.7234186283783,1
Morning_baseline_p5,Morning,baseline,5,TZ_227,0.472220994853,0.01785440694518839,SCH_0403,4238.811542008873,1
Morning_baseline_p5,Morning,baseline,5,TZ_228,0.50227419065,0.018990701166774406,SCH_0116,4813.454272085167,1
Morning_baseline_p5,Morning,baseline,5,TZ_255,0.46729438427,0.017668134604127535,SCH_0055,2961.250358902728,1
Morning_baseline_p5,Morning,baseline,5,TZ_256,0.453733636114,0.0171554104374822,SCH_0055,2369.5902094000394,1
Morning_baseline_p5,Morning,baseline,5,TZ_257,0.445697235349,0.01685155870027259,SCH_0403,2372.4253063422893,1
Morning_baseline_p10,Morning,baseline,10,TZ_11,0.0126305597045,0.00047755427091894097,SCH_0380,3990.473022862436,1
Morning_baseline_p10,Morning,baseline,10,TZ_14,0.569512446821,0.021532941348906855,SCH_0093,3413.6434781361127,1
Morning_baseline_p10,Morning,baseline,10,TZ_17,0.709879248982,0.02684013021745219,SCH_0139,1830.7582236829896,1
Morning_baseline_p10,Morning,baseline,10,TZ_21,0.472874911905,0.01787913117660135,SCH_0351,2282.524841066049,1
Morning_baseline_p10,Morning,baseline,10,TZ_22,0.530643010078,0.020063310076888094,SCH_0351,3839.587847014524,1
Morning_baseline_p10,Morning,baseline,10,TZ_25,0.596376382389,0.022548651457115203,SCH_0036,1350.331285442876,1
