"demand_id","zone_name","time_scena","mta_norm","taxi_norm","mobility_i","x_32118","y_32118"
"TZ_11","Bath Beach","evening_peak","0.000000000000000","0.037865635224500","0.018932817612300","299366.253446999995504","48594.152987000001303"
"TZ_14","Bay Ridge","evening_peak","0.804828809560000","0.071591754646700","0.438210282103000","297470.775237000023481","50877.790313999998034"
"TZ_17","Bedford","evening_peak","0.776726574320000","0.400059408220000","0.588392991270000","304234.352870000002440","58282.469414999999572"
"TZ_21","Bensonhurst East","evening_peak","0.747774257331000","0.060753826842000","0.404264042087000","301393.362934999982826","48278.483442500000820"
"TZ_22","Bensonhurst West","evening_peak","0.831055614808000","0.013144504992900","0.422100059900000","300401.244905000028666","49476.401954499997373"
"TZ_25","Boerum Hill","evening_peak","0.901658760872000","0.512781276169000","0.707220018520000","301173.854601999977604","57629.132582400001411"
"TZ_26","Borough Park","evening_peak","0.751597469165000","0.049521707216200","0.400559588191000","300959.348536000004970","51556.537709700001869"
"TZ_29","Brighton Beach","evening_peak","0.745797785367000","0.170912615766000","0.458355200566000","303283.645926999975927","46001.811586499999976"
"TZ_33","Brooklyn Heights","evening_peak","0.716137035189000","0.675612602795000","0.695874818992000","300401.464873999997508","58757.782786600000691"
"TZ_34","Brooklyn Navy Yard","evening_peak","0.000000000000000","0.101994897303000","0.050997448651700","302434.974310000019614","59319.814808900002390"
"TZ_35","Brownsville","evening_peak","0.797961203217000","0.138372099527000","0.468166651372000","307588.691350999986753","55230.882734899998468"
"TZ_36","Bushwick North","evening_peak","0.889376175712000","0.049521707216200","0.469448941464000","306954.750868999981321","59285.628013100002136"
"TZ_37","Bushwick South","evening_peak","0.823533088632000","0.155070720265000","0.489301904449000","306572.670856999990065","58671.396259100001771"
"TZ_39","Canarsie","evening_peak","0.562018313004000","0.060753826842000","0.311386069923000","308481.833823999972083","52348.391860299998370"
"TZ_40","Carroll Gardens","evening_peak","0.769952896318000","0.239830334228000","0.504891615273000","300341.867725000018254","56914.486408700002357"
"TZ_49","Clinton Hill","evening_peak","0.826688842065000","0.486139833533000","0.656414337799000","303181.447463000018615","57888.853422899999714"
"TZ_52","Cobble Hill","evening_peak","0.000000000000000","0.334796753126000","0.167398376563000","300276.921784000005573","57742.033167299996421"
"TZ_54","Columbia Street","evening_peak","0.000000000000000","0.111498701003000","0.055749350501700","299753.898872999998275","57803.046091999996861"
"TZ_55","Coney Island","evening_peak","0.772382227892000","0.339305581378000","0.555843904635000","301020.830982999992557","45561.362043499997526"
"TZ_61","Crown Heights North","evening_peak","0.893299785897000","0.460024347660000","0.676662066779000","305133.151377999980468","56391.083882999999332"
"TZ_62","Crown Heights South","evening_peak","0.797894750377000","0.178538910644000","0.488216830510000","304330.347196999995504","55510.070177399997192"
"TZ_63","Cypress Hills","evening_peak","0.686434765501000","0.071591754646700","0.379013260074000","310298.757830000016838","57437.002351800001634"
"TZ_65","Downtown Brooklyn/MetroTech","evening_peak","1.000000000000000","0.757222520702000","0.878611260351000","301176.035556000017095","58706.715266899998824"
"TZ_66","DUMBO/Vinegar Hill","evening_peak","0.810809738693000","0.642233960533000","0.726521849613000","301208.396030000003520","59475.335585599998012"
"TZ_67","Dyker Heights","evening_peak","0.000000000000000","0.013144504992900","0.006572252496430","298832.088757999998052","50298.375029599999834"
"TZ_71","East Flatbush/Farragut","evening_peak","0.636145993435000","0.178538910644000","0.407342452040000","305247.190109000017401","53039.525821399998676"
"TZ_72","East Flatbush/Remsen Village","evening_peak","0.000000000000000","0.082062223455000","0.041031111727500","306575.678123000019696","53937.489955700002611"
"TZ_76","East New York","evening_peak","0.803626790127000","0.185981421376000","0.494804105752000","310416.681470000010449","54893.539544400002342"
"TZ_77","East New York/Pennsylvania Avenue","evening_peak","0.663204465025000","0.037865635224500","0.350535050125000","308847.791314999980386","55516.092648600002576"
"TZ_80","East Williamsburg","evening_peak","0.808289680186000","0.155070720265000","0.481680200225000","305340.681006000027992","60933.081943600001978"
"TZ_85","Erasmus","evening_peak","0.600131040788000","0.101994897303000","0.351062969046000","304091.881514000007883","53241.846165399998426"
"TZ_89","Flatbush/Ditmas Park","evening_peak","0.859624231149000","0.263599694061000","0.561611962605000","303301.871554000012111","52329.030757000000449"
"TZ_91","Flatlands","evening_peak","0.000000000000000","0.146834252155000","0.073417126077500","305914.394941999984439","51039.491731499998423"
"TZ_97","Fort Greene","evening_peak","0.919396849826000","1.000000000000000","0.959698424913000","302123.149075999972411","58201.559995399999025"
"TZ_106","Gowanus","evening_peak","0.683290454443000","0.129671545304000","0.406480999874000","300790.739760999975260","56283.070711799999117"
"TZ_108","Gravesend","evening_peak","0.689107051101000","0.060753826842000","0.374930438972000","301571.956565000000410","46832.085362099998747"
"TZ_111","Green-Wood Cemetery","evening_peak","0.000000000000000","0.000000000000000","0.000000000000000","300825.938115999975707","53909.383569500001613"
"TZ_112","Greenpoint","evening_peak","0.818184380389000","0.138372099527000","0.478278239958000","304262.756565999996383","62502.218746200000169"
"TZ_123","Homecrest","evening_peak","0.601267111469000","0.013144504992900","0.307205808231000","303018.886732999992091","48115.149913499997638"
"TZ_133","Kensington","evening_peak","0.725335732609000","0.071591754646700","0.398463743628000","302013.363175000005867","52627.319375400002173"
"TZ_149","Madison","evening_peak","0.795805423615000","0.049521707216200","0.422663565416000","304389.588621000002604","48666.582358999999997"
"TZ_150","Manhattan Beach","evening_peak","0.000000000000000","0.120718766282000","0.060359383141000","304772.783964000002015","45952.827133799997682"
"TZ_154","Marine Park/Floyd Bennett Field","evening_peak","0.000000000000000","0.000000000000000","0.000000000000000","308245.345229999977164","47410.331575900003372"
"TZ_155","Marine Park/Mill Basin","evening_peak","0.000000000000000","0.049521707216200","0.024760853608100","307169.542438999982551","49743.443280699997558"
"TZ_165","Midwood","evening_peak","0.751542210747000","0.060753826842000","0.406148018794000","303653.330407999979798","50444.082994800002780"
