"candidate_id","candidate_name","candidate_type","candidate_source","longitude","latitude","safe_z12","safe_z123","x_32118","y_32118"
"SCH_0023","Urban Assembly School of Music and Art","school","NYC_School_Points","-73.984527999999997","40.697330000000001","1","1","301307.796099998056889","58927.086800001561642"
"SCH_0025","Brooklyn Community Arts & Media High School (BCAM)","school","NYC_School_Points","-73.958179999999999","40.692014999999998","1","1","303534.977200001478195","58337.595699999481440"
"SCH_0027","Brooklyn Technical High School","school","NYC_School_Points","-73.976434999999995","40.688896000000000","1","1","301992.057999998331070","57990.662000000476837"
"SCH_0029","Albee Square Montessori Public School","school","NYC_School_Points","-73.983827000000005","40.691124000000002","1","1","301367.170900002121925","58237.934700001031160"
"SCH_0030","The Urban Assembly School for Law and Justice","school","NYC_School_Points","-73.988322999999994","40.694628999999999","1","1","300987.087399996817112","58627.096799999475479"
"SCH_0031","Academy of Arts and Letters","school","NYC_School_Points","-73.945729999999998","40.685653000000002","1","1","304587.756899997591972","57631.687300000339746"
"SCH_0033","Brooklyn Academy High School","school","NYC_School_Points","-73.947873000000001","40.684654000000002","1","1","304406.667599998414516","57520.640599999576807"
"SCH_0034","Gotham Professional Arts Academy","school","NYC_School_Points","-73.961635999999999","40.678590999999997","1","1","303243.509999997913837","56846.757899999618530"
"SCH_0035","Bedford Academy High School","school","NYC_School_Points","-73.953692000000004","40.685485999999997","1","1","303914.710799999535084","57612.755899999290705"
"SCH_0036","George Westinghouse Career and Technical Education","school","NYC_School_Points","-73.986104999999995","40.695444000000002","1","1","301174.543200001120567","58717.628199998289347"
"SCH_0038","Benjamin Banneker Academy","school","NYC_School_Points","-73.968759000000006","40.695388999999999","1","1","302640.648699998855591","58711.898200001567602"
"SCH_0042","Bridges: A School for Exploration and Equity","school","NYC_School_Points","-73.973491999999993","40.682163000000003","1","1","302241.054399996995926","57243.048900000751019"
"SCH_0044","P.S. 016 Leonard Dunkly","school","NYC_School_Points","-73.962048999999993","40.706068999999999","1","1","303207.272100001573563","59898.113800000399351"
"SCH_0045","P.S. 017 Henry D. Woodworth","school","NYC_School_Points","-73.957300000000004","40.715268000000002","1","1","303608.101099997758865","60919.829500000923872"
"SCH_0046","P.S. 018 Edward Bush","school","NYC_School_Points","-73.946695000000005","40.710880000000003","1","1","304504.477399997413158","60433.041600000113249"
"SCH_0047","P.S. 023 Carter G. Woodson","school","NYC_School_Points","-73.947255999999996","40.694470000000003","1","1","304458.169200003147125","58610.716400001198053"
"SCH_0048","P.S. 031 Samuel F. Dupont","school","NYC_School_Points","-73.954138999999998","40.726970000000001","1","0","303874.512500002980232","62219.450599998235703"
"SCH_0049","P.S. 034 Oliver H. Perry","school","NYC_School_Points","-73.949755999999994","40.726377999999997","1","1","304244.831100001931190","62153.913100000470877"
"SCH_0050","J.H.S. 050 John D. Wells","school","NYC_School_Points","-73.960137000000003","40.711914999999998","1","1","303368.555399999022484","60547.372299998998642"
"SCH_0051","P.S. 059 The Dawn Best School","school","NYC_School_Points","-73.943279000000004","40.697619000000003","1","1","304794.088100001215935","58960.616099998354912"
"SCH_0052","Juan Morel Campos Secondary School","school","NYC_School_Points","-73.953304000000003","40.703995999999997","1","1","303946.414200000464916","59668.268399998545647"
"SCH_0053","P.S. 084 Jose De Diego","school","NYC_School_Points","-73.963808000000000","40.715088999999999","1","1","303058.209399998188019","60899.704300001263618"
"SCH_0054","P.S. 110 The Monitor","school","NYC_School_Points","-73.941925999999995","40.723742999999999","1","1","304906.518299996852875","61861.709899999201298"
"SCH_0055","P.S. 120 Carlos Tapia","school","NYC_School_Points","-73.937888000000001","40.700819000000003","1","1","305249.474600002169609","59316.278299998492002"
"SCH_0056","John Ericsson Middle School 126","school","NYC_School_Points","-73.947931999999994","40.719817999999997","1","1","304399.358999997377396","61425.526700001209974"
"SCH_0057","P.S. 132 The Conselyea School","school","NYC_School_Points","-73.945662999999996","40.714772000000004","1","1","304591.414899997413158","60865.294300001114607"
"SCH_0058","P.S. 147 Isaac Remsen","school","NYC_School_Points","-73.938789999999997","40.705005000000000","1","1","305172.917900003492832","59781.071199998259544"
"SCH_0059","P.S./I.S. 157 The Benjamin Franklin Health & Scien","school","NYC_School_Points","-73.959998999999996","40.695397000000000","1","1","303381.053900003433228","58713.087600000202656"
"SCH_0060","P.S. 196 Ten Eyck","school","NYC_School_Points","-73.939385000000001","40.708804000000001","1","1","305122.343099996447563","60202.907499998807907"
"SCH_0061","P.S. 250 George H. Lindsay","school","NYC_School_Points","-73.945659000000006","40.706707999999999","1","1","304592.308300003409386","59969.803100001066923"
"SCH_0062","P.S. 257 John F. Hylan","school","NYC_School_Points","-73.941344999999998","40.702759000000000","1","1","304957.164399996399879","59531.509799998253584"
"SCH_0063","P.S. 297 Abraham Stockton","school","NYC_School_Points","-73.948166000000001","40.697377000000003","1","1","304381.062899999320507","58933.486600000411272"
"SCH_0064","I.S. 318 Eugenio Maria De Hostos","school","NYC_School_Points","-73.948770999999994","40.703034000000002","1","1","304329.561700001358986","59561.654399998486042"
"SCH_0065","P.S. 319","school","NYC_School_Points","-73.953880999999996","40.709631999999999","1","1","303897.322300001978874","60294.109099999070168"
"SCH_0066","P.S. 380 John Wayne Elementary","school","NYC_School_Points","-73.953702000000007","40.701790000000003","1","0","303912.908600002527237","59423.278799999505281"
"SCH_0067","Brooklyn Arbor Elementary School","school","NYC_School_Points","-73.954678000000001","40.710107000000001","1","1","303829.946000002324581","60346.821699999272823"
"SCH_0068","Brooklyn Latin School, The","school","NYC_School_Points","-73.944462999999999","40.709764999999997","1","1","304693.163400001823902","60309.340199999511242"
"SCH_0070","PROGRESS High School for Professional Careers","school","NYC_School_Points","-73.938920999999993","40.711134000000001","1","1","305161.372699998319149","60461.676600001752377"
"SCH_0073","Brooklyn Preparatory High School","school","NYC_School_Points","-73.954814999999996","40.715561000000001","1","0","303818.056800000369549","60952.471999999135733"
"SCH_0079","A-Tech High School","school","NYC_School_Points","-73.953327999999999","40.721448000000002","1","0","303943.353399999439716","61606.278299998492002"
"SCH_0081","El Puente Academy for Peace and Justice","school","NYC_School_Points","-73.955741000000003","40.705539999999999","1","1","303740.376000002026558","59839.619500000029802"
"SCH_0082","P.S. 001 The Bergen","school","NYC_School_Points","-74.011420000000001","40.648958999999998","1","1","299034.217799998819828","53555.553899999707937"
"SCH_0083","Magnet School of Math, Science and Design Technolo","school","NYC_School_Points","-73.985945999999998","40.660912000000003","1","1","301188.597199998795986","54882.934500001370907"
"SCH_0084","P.S. 015 Patrick F. Daly","school","NYC_School_Points","-74.011864000000003","40.677084999999998","0","0","298997.087399996817112","56678.878100000321865"
"SCH_0085","P.S. 024","school","NYC_School_Points","-74.004532999999995","40.652831999999997","1","1","299616.742899999022484","53985.586800001561642"
"SCH_0086","P.S. 029 John M. Harrigan","school","NYC_School_Points","-73.997446999999994","40.686843000000003","1","1","300215.932400003075600","57762.416200000792742"
"SCH_0087","P.S. 032 Samuel Mills Sprole","school","NYC_School_Points","-73.991140999999999","40.680159000000003","1","1","300749.066500000655651","57020.208299998193979"
"SCH_0088","P.S. 038 The Pacific","school","NYC_School_Points","-73.982826000000003","40.684944999999999","1","1","301451.916500002145767","57551.786800000816584"
"SCH_0089","P.S. 039 Henry Bristow","school","NYC_School_Points","-73.982909000000006","40.668644000000000","1","1","301445.253300003707409","55741.598799999803305"
"SCH_0090","M.S. 51 William Alexander","school","NYC_School_Points","-73.985050000000001","40.672358000000003","1","1","301264.150399997830391","56153.996100001037121"
"SCH_0091","P.S. 058 The Carroll","school","NYC_School_Points","-73.995486000000000","40.680379000000002","1","1","300381.736699998378754","57044.610800001770258"
"SCH_0092","J.H.S. 088 Peter Rouget","school","NYC_School_Points","-73.988742999999999","40.660805000000003","1","1","300952.070699997246265","54871.018300000578165"
"SCH_0093","P.S. 094 The Henry Longfellow","school","NYC_School_Points","-74.008795000000006","40.643729999999998","1","1","299256.182199999690056","52974.862500000745058"
