"demand_id","zone_name","time_scena","mta_norm","taxi_norm","mobility_i","x_32118","y_32118"
"TZ_11","Bath Beach","morning_peak","0.000000000000000","0.025261119408900","0.012630559704500","299366.253446999995504","48594.152987000001303"
"TZ_14","Bay Ridge","morning_peak","0.924746607657000","0.214278285985000","0.569512446821000","297470.775237000023481","50877.790313999998034"
"TZ_17","Bedford","morning_peak","0.850636022965000","0.569122474998000","0.709879248982000","304234.352870000002440","58282.469414999999572"
"TZ_21","Bensonhurst East","morning_peak","0.896258943578000","0.049490880231900","0.472874911905000","301393.362934999982826","48278.483442500000820"
"TZ_22","Bensonhurst West","morning_peak","0.966115166632000","0.095170853524100","0.530643010078000","300401.244905000028666","49476.401954499997373"
"TZ_25","Boerum Hill","morning_peak","0.894737739978000","0.298015024801000","0.596376382389000","301173.854601999977604","57629.132582400001411"
"TZ_26","Borough Park","morning_peak","0.844948116567000","0.095170853524100","0.470059485045000","300959.348536000004970","51556.537709700001869"
"TZ_29","Brighton Beach","morning_peak","0.819535734078000","0.196013869011000","0.507774801544000","303283.645926999975927","46001.811586499999976"
"TZ_33","Brooklyn Heights","morning_peak","0.746122541636000","0.841876380390000","0.793999461013000","300401.464873999997508","58757.782786600000691"
"TZ_34","Brooklyn Navy Yard","morning_peak","0.000000000000000","0.025261119408900","0.012630559704500","302434.974310000019614","59319.814808900002390"
"TZ_35","Brownsville","morning_peak","0.907244042641000","0.249202871592000","0.578223457116000","307588.691350999986753","55230.882734899998468"
"TZ_36","Bushwick North","morning_peak","0.981865273218000","0.157707241679000","0.569786257449000","306954.750868999981321","59285.628013100002136"
"TZ_37","Bushwick South","morning_peak","0.896121396807000","0.137585086986000","0.516853241896000","306572.670856999990065","58671.396259100001771"
"TZ_39","Canarsie","morning_peak","0.667994166546000","0.116756749321000","0.392375457934000","308481.833823999972083","52348.391860299998370"
"TZ_40","Carroll Gardens","morning_peak","0.823148843972000","0.157707241679000","0.490428042825000","300341.867725000018254","56914.486408700002357"
"TZ_49","Clinton Hill","morning_peak","0.889471244854000","0.298015024801000","0.593743134827000","303181.447463000018615","57888.853422899999714"
"TZ_52","Cobble Hill","morning_peak","0.000000000000000","0.116756749321000","0.058378374660700","300276.921784000005573","57742.033167299996421"
"TZ_54","Columbia Street","morning_peak","0.000000000000000","0.357419233039000","0.178709616519000","299753.898872999998275","57803.046091999996861"
