"demand_id","zone_name","time_scena","mta_norm","taxi_norm","mobility_i","x_32118","y_32118"
"TZ_11","Bath Beach","night","0.000000000000000","0.000000000000000","0.000000000000000","299366.253446999995504","48594.152987000001303"
"TZ_14","Bay Ridge","night","0.706357717041000","0.038915716126800","0.372636716584000","297470.775237000023481","50877.790313999998034"
"TZ_17","Bedford","night","0.672713725778000","0.168491506121000","0.420602615949000","304234.352870000002440","58282.469414999999572"
"TZ_21","Bensonhurst East","night","0.624543458651000","0.000000000000000","0.312271729325000","301393.362934999982826","48278.483442500000820"
"TZ_22","Bensonhurst West","night","0.726070873132000","0.000000000000000","0.363035436566000","300401.244905000028666","49476.401954499997373"
"TZ_25","Boerum Hill","night","0.879494584224000","0.569963109695000","0.724728846960000","301173.854601999977604","57629.132582400001411"
"TZ_26","Borough Park","night","0.624900180693000","0.000000000000000","0.312450090347000","300959.348536000004970","51556.537709700001869"
"TZ_29","Brighton Beach","night","0.612542455742000","0.057220737567200","0.334881596654000","303283.645926999975927","46001.811586499999976"
"TZ_33","Brooklyn Heights","night","0.650359568473000","0.587577208404000","0.618968388438000","300401.464873999997508","58757.782786600000691"
"TZ_34","Brooklyn Navy Yard","night","0.000000000000000","0.154129812353000","0.077064906176700","302434.974310000019614","59319.814808900002390"
"TZ_35","Brownsville","night","0.745296372308000","0.038915716126800","0.392106044217000","307588.691350999986753","55230.882734899998468"
"TZ_36","Bushwick North","night","0.898423024741000","0.195953439571000","0.547188232156000","306954.750868999981321","59285.628013100002136"
"TZ_37","Bushwick South","night","0.784160449425000","0.124008508630000","0.454084479027000","306572.670856999990065","58671.396259100001771"
"TZ_39","Canarsie","night","0.462596147725000","0.019863347496700","0.241229747611000","308481.833823999972083","52348.391860299998370"
"TZ_40","Carroll Gardens","night","0.661300599348000","0.389615295716000","0.525457947532000","300341.867725000018254","56914.486408700002357"
"TZ_49","Clinton Hill","night","0.750769835018000","0.380725156060000","0.565747495539000","303181.447463000018615","57888.853422899999714"
"TZ_52","Cobble Hill","night","0.000000000000000","0.108186036767000","0.054093018383600","300276.921784000005573","57742.033167299996421"
"TZ_54","Columbia Street","night","0.000000000000000","0.182424427952000","0.091212213975900","299753.898872999998275","57803.046091999996861"
"TZ_55","Coney Island","night","0.702604229585000","0.343367765989000","0.522985997787000","301020.830982999992557","45561.362043499997526"
"TZ_61","Crown Heights North","night","0.846972827519000","0.258274973486000","0.552623900503000","305133.151377999980468","56391.083882999999332"
"TZ_62","Crown Heights South","night","0.721107686647000","0.108186036767000","0.414646861707000","304330.347196999995504","55510.070177399997192"
"TZ_63","Cypress Hills","night","0.594223664819000","0.000000000000000","0.297111832409000","310298.757830000016838","57437.002351800001634"
"TZ_65","Downtown Brooklyn/MetroTech","night","0.952906819113000","0.759201063331000","0.856053941222000","301176.035556000017095","58706.715266899998824"
"TZ_66","DUMBO/Vinegar Hill","night","0.732147708314000","1.000000000000000","0.866073854157000","301208.396030000003520","59475.335585599998012"
"TZ_67","Dyker Heights","night","0.000000000000000","0.000000000000000","0.000000000000000","298832.088757999998052","50298.375029599999834"
"TZ_71","East Flatbush/Farragut","night","0.549898504554000","0.038915716126800","0.294407110340000","305247.190109000017401","53039.525821399998676"
"TZ_72","East Flatbush/Remsen Village","night","0.000000000000000","0.038915716126800","0.019457858063400","306575.678123000019696","53937.489955700002611"
"TZ_76","East New York","night","0.758459995862000","0.000000000000000","0.379229997931000","310416.681470000010449","54893.539544400002342"
"TZ_77","East New York/Pennsylvania Avenue","night","0.547850277475000","0.038915716126800","0.293382996801000","308847.791314999980386","55516.092648600002576"
"TZ_80","East Williamsburg","night","0.809173397103000","0.269799465688000","0.539486431395000","305340.681006000027992","60933.081943600001978"
"TZ_85","Erasmus","night","0.541555645252000","0.074834836275600","0.308195240764000","304091.881514000007883","53241.846165399998426"
"TZ_89","Flatbush/Ditmas Park","night","0.805621628014000","0.209101301132000","0.507361464573000","303301.871554000012111","52329.030757000000449"
"TZ_91","Flatlands","night","0.000000000000000","0.038915716126800","0.019457858063400","305914.394941999984439","51039.491731499998423"
"TZ_97","Fort Greene","night","1.000000000000000","0.832852461330000","0.916426230665000","302123.149075999972411","58201.559995399999025"
"TZ_106","Gowanus","night","0.563350297298000","0.154129812353000","0.358740054826000","300790.739760999975260","56283.070711799999117"
"TZ_108","Gravesend","night","0.569305190819000","0.019863347496700","0.294584269158000","301571.956565000000410","46832.085362099998747"
"TZ_111","Green-Wood Cemetery","night","0.000000000000000","0.000000000000000","0.000000000000000","300825.938115999975707","53909.383569500001613"
"TZ_112","Greenpoint","night","0.779821598877000","0.423573412054000","0.601697505465000","304262.756565999996383","62502.218746200000169"
"TZ_123","Homecrest","night","0.432650673930000","0.057220737567200","0.244935705749000","303018.886732999992091","48115.149913499997638"
"TZ_133","Kensington","night","0.602739699265000","0.038915716126800","0.320827707696000","302013.363175000005867","52627.319375400002173"
"TZ_149","Madison","night","0.671474734874000","0.038915716126800","0.355195225500000","304389.588621000002604","48666.582358999999997"
"TZ_150","Manhattan Beach","night","0.000000000000000","0.195953439571000","0.097976719785600","304772.783964000002015","45952.827133799997682"
"TZ_154","Marine Park/Floyd Bennett Field","night","0.000000000000000","0.000000000000000","0.000000000000000","308245.345229999977164","47410.331575900003372"
"TZ_155","Marine Park/Mill Basin","night","0.000000000000000","0.019863347496700","0.009931673748340","307169.542438999982551","49743.443280699997558"
"TZ_165","Midwood","night","0.597628651628000","0.057220737567200","0.327424694597000","303653.330407999979798","50444.082994800002780"
"TZ_177","Ocean Hill","night","0.752609780631000","0.038915716126800","0.395762748379000","307301.951660000020638","56634.351676300000690"
"TZ_178","Ocean Parkway South","night","0.497828305420000","0.000000000000000","0.248914152710000","302511.049293000018224","50042.823737699996855"
"TZ_181","Park Slope","night","0.867861719784000","0.859340034885000","0.863600877335000","301571.474598000000697","55934.650559599998815"
"TZ_188","Prospect-Lefferts Gardens","night","0.762220988302000","0.091808278438200","0.427014633370000","304444.718576000013854","54644.415349800001422"
"TZ_189","Prospect Heights","night","0.630036835825000","0.182424427952000","0.406230631889000","302740.344900999974925","56741.347357999999076"
"TZ_190","Prospect Park","night","0.508499739916000","0.038915716126800","0.273707728021000","302628.773891000018921","54963.032912900001975"
"TZ_195","Red Hook","night","0.000000000000000","0.091808278438200","0.045904139219100","299223.997285999997985","56509.158533200003149"
"TZ_210","Sheepshead Bay","night","0.633556744179000","0.398339254768000","0.515947999474000","305036.194302999996580","47235.617356499999005"
"TZ_217","South Williamsburg","night","0.768183209292000","0.019863347496700","0.394023278394000","303498.998324999993201","59660.128476500001852"
"TZ_222","Starrett City","night","0.000000000000000","0.000000000000000","0.000000000000000","309945.748908000008669","53404.054851399996551"
"TZ_225","Stuyvesant Heights","night","0.713724555617000","0.209101301132000","0.461412928374000","305757.551162999996450","57912.715271799999755"
"TZ_227","Sunset Park East","night","0.644627114188000","0.038915716126800","0.341771415158000","299606.440994000004139","52770.993334200000390"
"TZ_228","Sunset Park West","night","0.802949632746000","0.091808278438200","0.447378955592000","299046.585090000007767","53933.489885000002687"
"TZ_255","Williamsburg (North Side)","night","0.920958655769000","0.551658088255000","0.736308372012000","303597.806447000009939","61313.395992600002501"
"TZ_256","Williamsburg (South Side)","night","0.827680162678000","0.234335458418000","0.531007810548000","303388.126395999977831","60433.365423000002920"
"TZ_257","Windsor Terrace","night","0.618314592863000","0.074834836275600","0.346574714569000","301862.143226000014693","54073.303528500000539"
