time_scenario,hazard_scenario,baseline_objective,hazard_objective,HCC_percent
Morning,baseline,1654.034470174065,1654.034470174065,0.0
Morning,moderate,1654.034470174065,1657.730253213732,0.22344050902869736
Morning,strict,1654.034470174065,1661.8049093823213,0.4697870176453146
Evening,baseline,1591.6582666405716,1591.6582666405716,0.0
Evening,moderate,1591.6582666405716,1597.8829172404976,0.39107958852650243
Evening,strict,1591.6582666405716,1597.8829172404976,0.39107958852650243
Night,baseline,1532.3265510238527,1532.3265510238527,0.0
Night,moderate,1532.3265510238527,1539.248222065436,0.45170992024894757
Night,strict,1532.3265510238527,1539.248222065436,0.45170992024894757
